,date,behavior,code,price,num,cash,close,profit,profit_new
0,20200203,buy,600568.SH,1.4,7100.0,11704.0,1.64,1704.0,3688.3578
1,20200204,--,600568.SH,1.65,7100.0,11917.0,1.67,1917.0,3755.481878212577
2,20200205,--,600568.SH,1.72,7100.0,12627.0,1.77,2627.0,3979.2288055878334
3,20200206,--,600568.SH,1.79,7100.0,13905.0,1.95,3905.0,4381.973274863294
4,20200207,--,600568.SH,2.15,7100.0,15112.0,2.12,5112.0,4762.34305140123
5,20200210,--,600568.SH,2.0,7100.0,13621.0,1.91,3621.0,4292.474503913191
6,20200211,--,600568.SH,1.79,7100.0,12982.0,1.82,2982.0,4091.102269275461
7,20200212,sell,600568.SH,1.76,0.0,12556.0,--,2556.0,3956.854112850307
8,20200213,buy,600677.SH,5.04,2400.0,13828.0,5.57,3828.0,4357.707763021189
9,20200214,--,600677.SH,5.29,2400.0,13156.0,5.29,3156.0,4145.936023308271
10,20200217,--,600677.SH,5.04,2400.0,12772.0,5.13,2772.0,4024.923600615174
11,20200218,--,600677.SH,5.15,2400.0,13156.0,5.29,3156.0,4145.93602330827
12,20200219,--,600677.SH,5.25,2400.0,12892.0,5.18,2892.0,4062.739982706766
13,20200220,--,600677.SH,5.15,2400.0,12868.0,5.17,2868.0,4055.176706288448
14,20200221,--,600677.SH,5.15,2400.0,12676.0,5.09,2676.0,3994.6704949418995
15,20200224,--,600677.SH,5.05,2400.0,12748.0,5.12,2748.0,4017.360324196855
16,20200225,--,600677.SH,5.05,2400.0,12507.999999999998,5.02,2507.999999999998,3941.41242349624
17,20200226,--,600677.SH,4.96,2400.0,12724.0,5.11,2724.0,4009.797047778537
18,20200227,--,600677.SH,5.08,2400.0,12628.0,5.07,2628.0,3979.543942105263
19,20200228,sell,600677.SH,4.9,0.0,12220.0,--,2220.0,3850.968242993848
